"id";"oil_field";"tag_key";"tag_value";"last_update";"last_actual_update";"description";"note";"status"
"54";"CPPN";"PRESSURE_KSU1";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"55";"CPPN";"PRESSURE_KSU2";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"56";"CPPN";"PRESSURE_OG1";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"57";"CPPN";"PRESSURE_GS1";"0.346498817205";"2020-01-24 16:32:27";"2020-01-24 11:32:51";"";"";"D"
"58";"CPPN";"TOP_PRESSURE_NGS2";"0";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"59";"CPPN";"PRESSURE_GS3";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"60";"CPPN";"PRESSURE_GS2";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"61";"CPPN";"TOP_PRESSURE_NGS3";"0";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"62";"CPPN";"TOP_PRESSURE_NGS1";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"63";"CPPN";"LEVEL_ED1";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"64";"CPPN";"STATUS_OF_PUMP4";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"65";"CPPN";"STATUS_OF_PUMP3";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"66";"CPPN";"STATUS_OF_PUMP6";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"67";"CPPN";"STATUS_OF_PUMP5";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"68";"CPPN";"STATUS_OF_PUMP8";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"69";"CPPN";"STATUS_OF_PUMP7";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"70";"CPPN";"STATUS_OF_PUMP9";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"71";"CPPN";"PRESSURE_UPS1";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"72";"CPPN";"PRESSURE_UPS2";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"73";"CPPN";"PRESSURE_UPS3";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"74";"CPPN";"STATUS_OF_PUMP2";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"75";"CPPN";"PRESSURE_UPS4";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"76";"CPPN";"STATUS_OF_PUMP1";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"77";"CPPN";"PRESSURE_UPS5";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"78";"CPPN";"PRESSURE_UPS6";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"79";"CPPN";"PRESSURE_OG3";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"80";"CPPN";"PRESSURE_OG2";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"81";"CPPN";"PRESSURE_OG5";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"82";"CPPN";"PRESSURE_OG4";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"83";"CPPN";"PRESSURE_KSU3";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"84";"CPPN";"PRESSURE_OG6";"None";"2020-01-24 16:32:27";"2020-01-24 17:32:27";"";"";"D"
"115";"UPPV";"FLOW411";"None";"2020-01-24 16:20:55";"2020-01-24 17:20:55";"";"";"D"
"116";"UPPV";"SUMM_FLOW";"None";"2020-01-24 16:20:55";"2020-01-24 17:20:55";"";"";"D"
"322";"VMT";"PT05_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"323";"VMT";"RashodomerOil_current";"0.0";"2022-05-15 22:27:48";"2022-05-15 17:55:30";"";"";"A"
"324";"VMT";"LIT04_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"325";"VMT";"Makat_VRP_CurrentWater64";"0.51422906";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"326";"VMT";"Makat_ASUTP_Rez_WO5_Mass";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"327";"VMT";"PT01_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"328";"VMT";"CurrentOil";"1225375";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"329";"VMT";"LIT01_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"330";"VMT";"Makat_ASUTP_Rez_Oil1_Scale";"444.8";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"331";"VMT";"Makat_ASUTP_Rez_Oil4_Mass";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"332";"VMT";"RashodomerOil_total";"1606534.0";"2022-05-15 22:27:48";"2022-05-15 17:55:30";"";"";"A"
"333";"VMT";"Rez_WO6_Mass";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"334";"VMT";"Makat_ASUTP_Rez_Oil7_Mass";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"335";"VMT";"Rez_WO6_Level_Oil";"832";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"336";"VMT";"RashodomerOil_density";"857.600341797";"2022-05-15 22:27:48";"2022-05-15 19:26:40";"";"";"A"
"337";"VMT";"TotalWaterPPDNasosnaya";"19439.98";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"338";"VMT";"Rez_Oil9_Mass";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"339";"VMT";"PT06_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"340";"VMT";"LIT05_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"341";"VMT";"PT25_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"342";"VMT";"Makat_VRP_CurrentWater6761";"2.21561";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"343";"VMT";"Makat_VRP_Total_PPD_Krohne";"2217734";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"344";"VMT";"Makat_VRP_Current_PPD_Krohne";"95.95";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"345";"VMT";"PT17_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"346";"VMT";"RashodomerOil_total2";"1895960.0";"2022-05-15 22:27:48";"2022-05-15 17:55:30";"";"";"A"
"347";"VMT";"Current_PPD_Krohne";"98.3505401611";"2022-05-15 22:27:48";"2022-05-15 19:26:39";"";"";"A"
"348";"VMT";"Makat_VRP_TotalWater64";"256.44";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"349";"VMT";"CurrentWaterPPDNasosnaya";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"350";"VMT";"Total_PPD_Krohne";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"351";"VMT";"LIT03_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"352";"VMT";"Rez_WO6_Scale_Wat";"532";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"353";"VMT";"Makat_ASUTP_Rez_Oil7_Scale";"168";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"354";"VMT";"Rez_Wat8_V_Grad";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"355";"VMT";"Rez_Oil9_Scale";"423.5";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"356";"VMT";"Makat_ASUTP_Rez_Oil1_Mass1";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"357";"VMT";"Rez_Wat8_Scale";"386.1";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"358";"VMT";"Makat_ASUTP_Rez_WO5_Scale";"597.8";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"359";"VMT";"Makat_VRP_TotalWater6761";"1035.22";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"360";"VMT";"LIT04M_AI_scaled";"0.0";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"361";"VMT";"TotalOil";"756939.9";"2020-02-18 09:32:23";"0000-00-00 00:00:00";"";"";"D"
"400";"ZHT";"C_JNTLP_RVS1_LIT101_Level";"4.66401";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"401";"ZHT";"C_JNTLP_OIL_Температура";"13.944366";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"402";"ZHT";"C_JNTLP_OIL_Объемный_расход";"49.68269";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"403";"ZHT";"JNTLP_MS_00_HFQT_02_TOTAL";"0.0";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"404";"ZHT";"JNTLP_MS_00_HFQT_01_TOTAL";"20.0";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"405";"ZHT";"C_JNTLP_RVS2_LIT102_Level";"2.1919131";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"406";"ZHT";"C_JNTLP_OIL_Сумматор_3";"5.6676448E8";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"407";"ZHT";"C_JNTLP_OIL_Сумматор_1";"566764.6";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"408";"ZHT";"C_JNTLP_OIL_Плотность";"1.1526835";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"409";"ZHT";"C_JNTLP_OIL_Сумматор_2";"530114.1";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"410";"ZHT";"C_JNTLP_RVS2_LIT103_Level";"8.995624";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"411";"ZHT";"C_JNTLP_OIL_Концентрация";"8.810922";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"412";"ZHT";"C_JNTLP_OIL_Массовый_расход";"56.676907";"2020-01-22 11:08:16";"0000-00-00 00:00:00";"";"";"D"
"413";"ZHT";"Sev_Janatalap_FIT_102_SV";"0.15284511";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"414";"ZHT";"Sev_Janatalap_FIT_101_TV";"559728.06";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"415";"ZHT";"Sev_Janatalap_FIT_102_TV";"30013.207";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"416";"ZHT";"JNTLP_MS_00_HFQT_01";"2.27323366E9";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"417";"ZHT";"PIW330_G";"36";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
"418";"ZHT";"Sev_Janatalap_FIT_101_PV";"30.158678";"2020-03-15 23:27:27";"0000-00-00 00:00:00";"";"";"D"
